true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_weekly,half_normal,strong,1.5,3.843829334439898e-5
0.0,aggregate_weekly,half_normal,strong,1.75,5.314347861391435e-5
0.0,aggregate_weekly,half_normal,strong,2.0,0.004960666829171461
0.0,aggregate_weekly,half_normal,strong,2.25,0.0025284150575439136
0.0,aggregate_weekly,half_normal,strong,2.5,0.0012417806307405909
0.0,aggregate_weekly,half_normal,strong,2.75,0.0009566869926754179
0.0,aggregate_weekly,half_normal,strong,3.0,0.06666579845125857
0.0,aggregate_weekly,half_normal,strong,3.25,2.5694464353457017e-5
0.0,aggregate_weekly,half_normal,strong,3.5,9.704911046748726e-7
0.0,aggregate_weekly,exponential,weak,0.0,0.1900351680424939
0.0,aggregate_weekly,exponential,weak,0.25,0.11491898484717217
0.0,aggregate_weekly,exponential,weak,0.5,0.13475895702276988
0.0,aggregate_weekly,exponential,weak,0.75,0.12597669489955543
0.0,aggregate_weekly,exponential,weak,1.0,0.08168480819204677
0.0,aggregate_weekly,exponential,weak,1.25,0.11517756823480813
0.0,aggregate_weekly,exponential,weak,1.5,0.00011313718772799065
0.0,aggregate_weekly,exponential,weak,1.75,4.957695066347032e-5
0.0,aggregate_weekly,exponential,weak,2.0,0.03274901153678623
0.0,aggregate_weekly,exponential,weak,2.25,0.048331166553001854
0.0,aggregate_weekly,exponential,weak,2.5,0.04194264947779822
0.0,aggregate_weekly,exponential,weak,2.75,0.03666117771685758
0.0,aggregate_weekly,exponential,weak,3.0,0.06666686644036819
0.0,aggregate_weekly,exponential,weak,3.25,0.008743452929014775
0.0,aggregate_weekly,exponential,weak,3.5,0.0021907799689354587
0.0,aggregate_weekly,exponential,moderate,0.0,0.2799099440214036
0.0,aggregate_weekly,exponential,moderate,0.25,0.14535419033733213
0.0,aggregate_weekly,exponential,moderate,0.5,0.14619097921988017
0.0,aggregate_weekly,exponential,moderate,0.75,0.1171480108413736
0.0,aggregate_weekly,exponential,moderate,1.0,0.08448809330535757
0.0,aggregate_weekly,exponential,moderate,1.25,0.07493047140161016
0.0,aggregate_weekly,exponential,moderate,1.5,6.355574405412572e-5
0.0,aggregate_weekly,exponential,moderate,1.75,5.6791018643083576e-5
0.0,aggregate_weekly,exponential,moderate,2.0,0.016759857755248377
0.0,aggregate_weekly,exponential,moderate,2.25,0.021244336016785628
0.0,aggregate_weekly,exponential,moderate,2.5,0.019703805419830023
0.0,aggregate_weekly,exponential,moderate,2.75,0.022132947247832983
0.0,aggregate_weekly,exponential,moderate,3.0,0.0666667895666843
0.0,aggregate_weekly,exponential,moderate,3.25,0.00457518812402554
0.0,aggregate_weekly,exponential,moderate,3.5,0.0007750399799387001
0.0,aggregate_weekly,exponential,strong,0.0,0.4049437655139384
0.0,aggregate_weekly,exponential,strong,0.25,0.17240527736439143
0.0,aggregate_weekly,exponential,strong,0.5,0.13909557779136292
0.0,aggregate_weekly,exponential,strong,0.75,0.08729577496920826
0.0,aggregate_weekly,exponential,strong,1.0,0.07474451115908365
0.0,aggregate_weekly,exponential,strong,1.25,0.03196009960673906
0.0,aggregate_weekly,exponential,strong,1.5,2.0721882333435634e-5
0.0,aggregate_weekly,exponential,strong,1.75,5.3870420502701985e-5
0.0,aggregate_weekly,exponential,strong,2.0,0.005954714797666149
0.0,aggregate_weekly,exponential,strong,2.25,0.0044891399187817855
0.0,aggregate_weekly,exponential,strong,2.5,0.0040168923442781244
0.0,aggregate_weekly,exponential,strong,2.75,0.007206094293377037
0.0,aggregate_weekly,exponential,strong,3.0,0.06666665686232993
0.0,aggregate_weekly,exponential,strong,3.25,0.0010463532240962193
0.0,aggregate_weekly,exponential,strong,3.5,0.0001005498519107962
