eta,alpha,loglik,logprior,logpost,posterior_weight
1.93,-5.126648072524773,-27268.346837902474,-0.0,-27268.346837902474,1.4069611787926402e-85
1.94,-5.134017497161807,-27260.977076203828,-0.0,-27260.977076203828,2.233206859251773e-82
1.95,-5.141414392558801,-27253.773028591095,-0.0,-27253.773028591095,3.0033578308373734e-79
1.96,-5.148838545413952,-27246.733356285295,-0.0,-27246.733356285295,3.4268722562131575e-76
1.97,-5.156289742597693,-27239.856722505818,-0.0,-27239.856722505818,3.321865314938238e-73
1.98,-5.163767771179977,-27233.141792664734,-0.0,-27233.141792664734,2.7392962082550922e-70
1.99,-5.171272418464383,-27226.58723455782,-0.0,-27226.58723455782,1.9241876083665147e-67
2.0,-5.178803472017108,-27220.191718551763,-0.0,-27220.191718551763,1.1528816423518228e-64
2.01,-5.186360719701071,-27213.95391776791,-0.0,-27213.95391776791,5.8996627129190975e-62
2.02,-5.193943949699786,-27207.872508261946,-0.0,-27207.872508261946,2.58196157117705e-59
2.03,-5.201552950556589,-27201.94616920068,-0.0,-27201.94616920068,9.676674358333368e-57
2.04,-5.209187511191686,-27196.173583034048,-0.0,-27196.173583034048,3.109771254525198e-54
2.05,-5.216847420943083,-27190.553435664682,-0.0,-27190.553435664682,8.58079318699597e-52
2.06,-5.224532469582783,-27185.08441661261,-0.0,-27185.08441661261,2.0355990078888123e-49
2.07,-5.232242447353457,-27179.765219177294,-0.0,-27179.765219177294,4.157098594447654e-47
2.08,-5.239977144990604,-27174.59454059533,-0.0,-27174.59454059533,7.317917358724668e-45
2.09,-5.247736353749843,-27169.571082194776,-0.0,-27169.571082194776,1.1118540033190782e-42
2.1,-5.25551986543249,-27164.693549545726,-0.0,-27164.693549545726,1.4599341884379576e-40
2.11,-5.2633274724111345,-27159.960652607308,-0.0,-27159.960652607308,1.6588392498813985e-38
2.12,-5.271158967655225,-27155.371105871058,-0.0,-27155.371105871058,1.633123862840321e-36
2.13,-5.2790141447532335,-27150.923628500517,-0.0,-27150.923628500517,1.394870871193175e-34
2.14,-5.286892797938236,-27146.616944467485,-0.0,-27146.616944467485,1.034911268971493e-32
2.15,-5.294794722109231,-27142.449782684384,-0.0,-27142.449782684384,6.678493129513296e-31
2.16,-5.302719712856714,-27138.42087713341,-0.0,-27138.42087713341,3.753271079676954e-29
2.17,-5.3106675664797365,-27134.52896699167,-0.0,-27134.52896699167,1.8392680681332562e-27
