period,t_start,t_end,true_incidence,reported_incidence,eta,rep
10,63.0,70.0,0,0.0,3.0,18
11,70.0,77.0,0,0.0,3.0,18
12,77.0,84.0,0,0.0,3.0,18
13,84.0,91.0,0,0.0,3.0,18
14,91.0,98.0,0,0.0,3.0,18
15,98.0,105.0,0,0.0,3.0,18
16,105.0,112.0,0,0.0,3.0,18
17,112.0,119.0,0,0.0,3.0,18
18,119.0,126.0,0,0.0,3.0,18
19,126.0,133.0,0,0.0,3.0,18
20,133.0,140.0,0,0.0,3.0,18
21,140.0,147.0,0,0.0,3.0,18
1,0.0,7.0,33,33.0,3.0,19
2,7.0,14.0,197,197.0,3.0,19
3,14.0,21.0,443,443.0,3.0,19
4,21.0,28.0,223,223.0,3.0,19
5,28.0,35.0,45,45.0,3.0,19
6,35.0,42.0,11,11.0,3.0,19
7,42.0,49.0,5,5.0,3.0,19
8,49.0,56.0,3,3.0,3.0,19
9,56.0,63.0,1,1.0,3.0,19
10,63.0,70.0,1,1.0,3.0,19
11,70.0,77.0,0,0.0,3.0,19
12,77.0,84.0,0,0.0,3.0,19
13,84.0,91.0,0,0.0,3.0,19
14,91.0,98.0,0,0.0,3.0,19
15,98.0,105.0,0,0.0,3.0,19
16,105.0,112.0,0,0.0,3.0,19
17,112.0,119.0,0,0.0,3.0,19
18,119.0,126.0,0,0.0,3.0,19
19,126.0,133.0,0,0.0,3.0,19
20,133.0,140.0,0,0.0,3.0,19
21,140.0,147.0,0,0.0,3.0,19
1,0.0,7.0,17,17.0,3.0,20
2,7.0,14.0,93,93.0,3.0,20
3,14.0,21.0,266,266.0,3.0,20
4,21.0,28.0,390,390.0,3.0,20
5,28.0,35.0,147,147.0,3.0,20
6,35.0,42.0,36,36.0,3.0,20
7,42.0,49.0,7,7.0,3.0,20
8,49.0,56.0,4,4.0,3.0,20
9,56.0,63.0,2,2.0,3.0,20
10,63.0,70.0,1,1.0,3.0,20
11,70.0,77.0,0,0.0,3.0,20
12,77.0,84.0,0,0.0,3.0,20
13,84.0,91.0,0,0.0,3.0,20
14,91.0,98.0,0,0.0,3.0,20
15,98.0,105.0,0,0.0,3.0,20
16,105.0,112.0,0,0.0,3.0,20
17,112.0,119.0,0,0.0,3.0,20
18,119.0,126.0,0,0.0,3.0,20
19,126.0,133.0,0,0.0,3.0,20
20,133.0,140.0,0,0.0,3.0,20
21,140.0,147.0,0,0.0,3.0,20
